source,series,checkpoint_count,train_count,assumed_noise_fraction,tail_energy_rank_1,tail_energy_rank_2,tail_energy_rank_3,selected_order,pencil_order,pencil_all_real_stable,pencil_poles,pencil_train_nrmse
published,math_tf__verifier,20,14,0.03,0.010301621731864594,0.005760735936553622,0.0021755582340377694,1,1,True,0.880555,0.006027254760065006
published,math_tf__verifier,20,15,0.005,0.010354671995625828,0.00594633840852178,0.002510269630054502,1,1,True,0.878485,0.006034846937586779
published,math_tf__verifier,20,15,0.01,0.010354671995625828,0.00594633840852178,0.002510269630054502,1,1,True,0.878485,0.006034846937586779
published,math_tf__verifier,20,15,0.02,0.010354671995625828,0.00594633840852178,0.002510269630054502,1,1,True,0.878485,0.006034846937586779
published,math_tf__verifier,20,15,0.03,0.010354671995625828,0.00594633840852178,0.002510269630054502,1,1,True,0.878485,0.006034846937586779
published,math_tf__verifier,20,16,0.005,0.01103003117094488,0.006801046769391446,0.0035106639259572026,1,1,True,0.88181,0.006330977853513899
published,math_tf__verifier,20,16,0.01,0.01103003117094488,0.006801046769391446,0.0035106639259572026,1,1,True,0.88181,0.006330977853513899
published,math_tf__verifier,20,16,0.02,0.01103003117094488,0.006801046769391446,0.0035106639259572026,1,1,True,0.88181,0.006330977853513899
published,math_tf__verifier,20,16,0.03,0.01103003117094488,0.006801046769391446,0.0035106639259572026,1,1,True,0.88181,0.006330977853513899
reproduction,20260718__solver_uncertainty,21,10,0.005,0.716062140234479,0.44602108616777314,0.20165067035168308,4+,4,False,-0.115494|-0.0399431-0.21164j|-0.0399431+0.21164j|0.228593,nan
reproduction,20260718__solver_uncertainty,21,10,0.01,0.716062140234479,0.44602108616777314,0.20165067035168308,4+,4,False,-0.115494|-0.0399431-0.21164j|-0.0399431+0.21164j|0.228593,nan
reproduction,20260718__solver_uncertainty,21,10,0.02,0.716062140234479,0.44602108616777314,0.20165067035168308,4+,4,False,-0.115494|-0.0399431-0.21164j|-0.0399431+0.21164j|0.228593,nan
reproduction,20260718__solver_uncertainty,21,10,0.03,0.716062140234479,0.44602108616777314,0.20165067035168308,4+,4,False,-0.115494|-0.0399431-0.21164j|-0.0399431+0.21164j|0.228593,nan
reproduction,20260718__solver_uncertainty,21,12,0.005,0.7160661871491297,0.44604049973495313,0.20169863330304166,4+,4,False,-0.127641|-0.0363177-0.216903j|-0.0363177+0.216903j|0.233536,nan
reproduction,20260718__solver_uncertainty,21,12,0.01,0.7160661871491297,0.44604049973495313,0.20169863330304166,4+,4,False,-0.127641|-0.0363177-0.216903j|-0.0363177+0.216903j|0.233536,nan
reproduction,20260718__solver_uncertainty,21,12,0.02,0.7160661871491297,0.44604049973495313,0.20169863330304166,4+,4,False,-0.127641|-0.0363177-0.216903j|-0.0363177+0.216903j|0.233536,nan
reproduction,20260718__solver_uncertainty,21,12,0.03,0.7160661871491297,0.44604049973495313,0.20169863330304166,4+,4,False,-0.127641|-0.0363177-0.216903j|-0.0363177+0.216903j|0.233536,nan
reproduction,20260718__solver_uncertainty,21,14,0.005,0.7608131871854033,0.5333377067507895,0.327493564351266,4+,4,False,-0.126688|-0.0365972-0.216385j|-0.0365972+0.216385j|0.233107,nan
reproduction,20260718__solver_uncertainty,21,14,0.01,0.7608131871854033,0.5333377067507895,0.327493564351266,4+,4,False,-0.126688|-0.0365972-0.216385j|-0.0365972+0.216385j|0.233107,nan
reproduction,20260718__solver_uncertainty,21,14,0.02,0.7608131871854033,0.5333377067507895,0.327493564351266,4+,4,False,-0.126688|-0.0365972-0.216385j|-0.0365972+0.216385j|0.233107,nan
reproduction,20260718__solver_uncertainty,21,14,0.03,0.7608131871854033,0.5333377067507895,0.327493564351266,4+,4,False,-0.126688|-0.0365972-0.216385j|-0.0365972+0.216385j|0.233107,nan
