panel,series,checkpoint,epoch,svg_x,svg_y,affine_uncertainty
math_tf,verifier,10,5.0,915.554249,260.50784,0.1552865102605763
math_tf,verifier,11,5.5,929.424744,263.845084,0.14322151381612783
math_tf,verifier,12,6.0,943.295238,266.792128,0.1325671908533378
math_tf,verifier,13,6.5,957.165733,269.572491,0.12251546262810874
math_tf,verifier,14,7.0,971.036228,271.86391,0.11423139287242375
math_tf,verifier,15,7.5,984.906723,273.599378,0.10795722914647071
math_tf,verifier,16,8.0,998.777218,276.264958,0.09832047102438174
math_tf,verifier,17,8.5,1012.647713,278.055136,0.09184851655988044
math_tf,verifier,18,9.0,1026.518207,279.111097,0.08803094562096322
math_tf,verifier,19,9.5,1040.388702,280.832716,0.08180684959631075
math_tf,verifier,20,10.0,1054.259197,282.238225,0.0767255726241624
math_tf,gap,1,0.5,790.719795,142.767587,0.5809478445272535
math_tf,gap,2,1.0,804.59029,178.799932,0.45068163854706716
math_tf,gap,3,1.5,818.460785,205.895754,0.3527232644846946
math_tf,gap,4,2.0,832.33128,223.247293,0.28999298274901425
math_tf,gap,5,2.5,846.201775,236.920423,0.2405610967872801
math_tf,gap,6,3.0,860.072269,246.279208,0.20672667900141914
math_tf,gap,7,3.5,873.942764,254.2729,0.17782742394005235
math_tf,gap,8,4.0,887.813259,261.132002,0.1530300039006098
math_tf,gap,9,4.5,901.683754,267.154948,0.13125550312239131
math_tf,gap,10,5.0,915.554249,270.997375,0.11736414004164186
math_tf,gap,11,5.5,929.424744,274.10315,0.10613596363852074
math_tf,gap,12,6.0,943.295238,276.663938,0.09687805558175723
math_tf,gap,13,6.5,957.165733,278.140465,0.09154003025153488
math_tf,gap,14,7.0,971.036228,280.519389,0.0829396073871555
math_tf,gap,15,7.5,984.906723,282.343412,0.07634529453211931
math_tf,gap,16,8.0,998.777218,283.672619,0.07153986893874467
math_tf,gap,17,8.5,1012.647713,284.87409,0.06719624187907859
math_tf,gap,18,9.0,1026.518207,285.679098,0.06428593065887642
math_tf,gap,19,9.5,1040.388702,286.80085,0.060230508312906765
math_tf,gap,20,10.0,1054.259197,287.910645,0.056218313601022876
gsm8k_tf,solver,1,0.5,1147.817992,39.429593,0.9545413037368398
gsm8k_tf,solver,2,1.0,1161.688487,87.655768,0.7801912622342259
gsm8k_tf,solver,3,1.5,1175.558981,123.352091,0.6511398623141469
gsm8k_tf,solver,4,2.0,1189.429476,148.587885,0.5599059684535739
gsm8k_tf,solver,5,2.5,1203.299971,168.177298,0.4890851959257537
gsm8k_tf,solver,6,3.0,1217.170466,184.539532,0.42993150652418954
gsm8k_tf,solver,7,3.5,1231.040961,198.542515,0.37930711702594716
gsm8k_tf,solver,8,4.0,1244.911456,208.328633,0.34392778040118943
gsm8k_tf,solver,9,4.5,1258.78195,218.037905,0.30882626185529255
gsm8k_tf,solver,10,5.0,1272.652445,223.664021,0.28848640371604517
gsm8k_tf,solver,11,5.5,1286.52294,228.144961,0.27228665171475697
gsm8k_tf,solver,12,6.0,1300.393435,233.619252,0.2524956800474542
gsm8k_tf,solver,13,6.5,1314.26393,238.560651,0.23463125018688621
gsm8k_tf,solver,14,7.0,1328.134424,241.729024,0.22317676589395272
gsm8k_tf,solver,15,7.5,1342.004919,246.878683,0.20455942250368161
gsm8k_tf,solver,16,8.0,1355.875414,247.935966,0.20073707219433176
gsm8k_tf,solver,17,8.5,1369.745909,250.137219,0.1927789757475837
gsm8k_tf,solver,18,9.0,1383.616404,252.482231,0.1843011534959925
gsm8k_tf,solver,19,9.5,1397.486899,254.277879,0.17780942357289398
gsm8k_tf,solver,20,10.0,1411.357393,256.454979,0.16993864644086276
gsm8k_tf,verifier,1,0.5,1147.817992,208.928507,0.3417590814157041
gsm8k_tf,verifier,2,1.0,1161.688487,220.3642,0.30041610637857635
gsm8k_tf,verifier,3,1.5,1175.558981,229.648004,0.26685276421631426
gsm8k_tf,verifier,4,2.0,1189.429476,237.480006,0.2385380601422599
gsm8k_tf,verifier,5,2.5,1203.299971,244.268197,0.21399700162833735
gsm8k_tf,verifier,6,3.0,1217.170466,249.04423,0.1967304124417005
gsm8k_tf,verifier,7,3.5,1231.040961,254.315331,0.17767402494850895
gsm8k_tf,verifier,8,4.0,1244.911456,257.372372,0.1666220345050373
gsm8k_tf,verifier,9,4.5,1258.78195,261.047372,0.15333596314395362
gsm8k_tf,verifier,10,5.0,1272.652445,264.089071,0.1423394379812498
gsm8k_tf,verifier,11,5.5,1286.52294,267.174371,0.13118528397571197
gsm8k_tf,verifier,12,6.0,1300.393435,268.984486,0.12464125212216971
gsm8k_tf,verifier,13,6.5,1314.26393,271.940626,0.11395404477703944
gsm8k_tf,verifier,14,7.0,1328.134424,273.716551,0.10753361857787425
gsm8k_tf,verifier,15,7.5,1342.004919,276.36657,0.09795311747794827
gsm8k_tf,verifier,16,8.0,1355.875414,277.288918,0.0946185919411448
gsm8k_tf,verifier,17,8.5,1369.745909,278.702888,0.08950672627517725
gsm8k_tf,verifier,18,9.0,1383.616404,279.993879,0.08483946136292775
gsm8k_tf,verifier,19,9.5,1397.486899,281.218442,0.08041235077676652
