source,group,window_start,window_end,window_midpoint,relative_midpoint,shared_difference_mode,solver_difference_mode,verifier_difference_mode,gap_difference_mode,shared_relative_residual_energy
published,gsm8k_tf,1.5,4.5,3.0,0.2631578947368421,0.803950038953116,0.8075436237082946,0.8252214452327584,0.7911637881605823,0.010340326243697791
published,gsm8k_tf,2.0,5.0,3.5,0.3157894736842105,0.8039413002650078,0.8060250581813753,0.804199022772892,0.7991328590002014,0.022894882571693264
published,gsm8k_tf,2.5,5.5,4.0,0.3684210526315789,0.7814294750869167,0.7892177601049203,0.8837734829901398,0.7352453286338545,0.03301876614738206
published,gsm8k_tf,3.0,6.0,4.5,0.42105263157894735,0.7622016718766359,0.7683313997673196,0.7707640598508338,0.7425204886479221,0.06880062980951376
published,gsm8k_tf,3.5,6.5,5.0,0.47368421052631576,0.8120240860961262,0.8332752144007882,0.9517685876807167,0.6958840685805086,0.09734341934253588
published,gsm8k_tf,4.0,7.0,5.5,0.5263157894736842,0.7104703483550567,0.7339418904837143,0.829686021695694,0.5504930462538973,0.1293167816639389
published,gsm8k_tf,4.5,7.5,6.0,0.5789473684210527,0.9059154515140302,0.9363551063676271,0.8920505576580154,0.7961840875850502,0.14174063698158712
published,gsm8k_tf,5.0,8.0,6.5,0.631578947368421,0.7713109358726495,0.8016227508609751,0.7359010161199122,0.6897765138919572,0.2800743604487594
published,gsm8k_tf,5.5,8.5,7.0,0.6842105263157895,0.7095256219276498,0.7255525951237065,0.8269705998562646,0.5460046946697136,0.3020597693081117
published,gsm8k_tf,6.0,9.0,7.5,0.7368421052631579,0.6696997140773989,0.6708588873821557,0.7135185246289116,0.5889154472177093,0.37357857622921714
published,gsm8k_tf,6.5,9.5,8.0,0.7894736842105263,0.6975657156019348,0.6968097172290573,0.8072418117656179,0.5390335654488234,0.4349981829662319
published,gsm8k_tf,7.0,10.0,8.5,0.8421052631578947,0.5143146909779357,0.510949649641636,0.6712043164267539,0.2851992627596555,0.44796438586872256
