checkpoint,single_mode_residual,single_mode_profile,single_mode_kernel,two_mode_residual,two_mode_profile,two_mode_kernel
23,1.0565445565763124e-08,0.9999999894345545,1.2913322411378658e-08,0.06023940847006762,0.9397605915299324,0.0038450778049482492
24,4.7544505045934055e-09,0.9999999952455495,5.810995018507015e-09,0.056625040079062314,0.9433749599209377,0.0036143683910052626
25,2.1395027270670325e-09,0.9999999978604973,2.614947813839308e-09,0.053227535927058006,0.946772464072942,0.003397504152004349
26,9.627762271801647e-10,0.9999999990372238,1.176726494023228e-09,0.050033882985167276,0.9499661170148327,0.003193652941890668
27,4.332493022310741e-10,0.9999999995667507,5.295268667993014e-10,0.04703184965223697,0.952968150347763,0.003002033332930365
28,1.9496218600398337e-10,0.9999999998050378,2.3828716777529735e-10,0.044209938513883634,0.9557900614861163,0.0028219111383532836
29,8.773298370179252e-11,0.9999999999122671,1.0722922549888381e-10,0.04155734213140201,0.958442657868598,0.002652596382481609
30,3.9479842665806633e-11,0.9999999999605201,4.8253068207770866e-11,0.03906390157127602,0.960936098428724,0.0024934405601260146
31,1.7765929199612986e-11,0.9999999999822341,2.1713963960223737e-11,0.03672006746249061,0.9632799325375094,0.0023438341087854697
32,7.994668139825843e-12,0.9999999999920053,9.771183862028465e-12,0.034516863408212195,0.9654831365917877,0.0022032040542783182
33,3.5976006629216294e-12,0.9999999999964024,4.397149311330395e-12,0.03244585160078142,0.9675541483992186,0.002071011807430856
34,1.6189202983147333e-12,0.9999999999983811,1.978639474486954e-12,0.030499100503412414,0.9695008994965876,0.0019467510973689706
35,7.2851413424163e-13,0.9999999999992715,8.903988657493755e-13,0.028669154472612715,0.9713308455273872,0.0018299460307996673
36,3.2783136040873353e-13,0.9999999999996722,4.00679489587219e-13,0.02694900520398822,0.9730509947960118,0.0017201492686245157
37,1.4752411218393008e-13,0.9999999999998525,1.8030021919912542e-13,0.02533206489162845,0.9746679351083716,0.0016169403123598158
38,6.638585048276855e-14,0.9999999999999336,8.115730310009894e-14,0.023812140998076523,0.9761878590019235,0.0015199238935519332
39,2.9873632717245846e-14,0.9999999999999701,3.652633751016765e-14,0.022383412538167533,0.9776165874618324,0.0014287284599089345
40,1.3443134722760631e-14,0.9999999999999866,1.6431300764452317e-14,0.0210404077858665,0.9789595922141335,0.0013430047523010913
41,6.049410625242283e-15,0.999999999999994,7.438494264988549e-15,0.01977798331870957,0.9802220166812904,0.001262424467156853
42,2.722234781359028e-15,0.9999999999999972,3.219646771412954e-15,0.01859130431958477,0.9814086956804152,0.001186678999124835
43,1.2250056516115625e-15,0.9999999999999988,1.5543122344752192e-15,0.017475826060408685,0.9825241739395913,0.001115478259176128
44,5.512525432252032e-16,0.9999999999999994,6.661338147750939e-16,0.016427276496783712,0.9835727235032163,0.0010485495636249897
45,2.4806364445134144e-16,0.9999999999999998,3.3306690738754696e-16,0.015441639906976485,0.9845583600930236,0.000985636589807215
46,1.1162864000310365e-16,0.9999999999999999,1.1102230246251565e-16,0.014515141512557804,0.9854848584874422,0.0009264983944186067
47,5.023288800139664e-17,1.0,1.1102230246251565e-16,0.013644233021804295,0.9863557669781957,0.0008709084907535525
48,2.2604799600628488e-17,1.0,0.0,0.012825579040496018,0.987174420959504,0.0008186539813083149
49,1.017215982028282e-17,1.0,0.0,0.012056044298066247,0.9879439557019337,0.0007695347424296894
50,4.577471919127269e-18,1.0,0.0,0.011332681640182269,0.9886673183598177,0.0007233626578839747
51,2.0598623636072714e-18,1.0,0.0,0.010652720741771331,0.9893472792582286,0.0006799608984109362
52,9.269380636232721e-19,1.0,0.0,0.010013557497265048,0.9899864425027349,0.0006391632445063022
53,4.1712212863047242e-19,1.0,0.0,0.009412744047429145,0.9905872559525708,0.0006008134498358686
54,1.877049578837126e-19,1.0,0.0,0.008847979404583395,0.9911520205954166,0.0005647646428458275
55,8.446723104767067e-20,1.0,0.0,0.008317100640308392,0.9916828993596916,0.0005308787642749335
56,3.8010253971451804e-20,1.0,0.0,0.007818074601889888,0.9921819253981101,0.0004990260384185596
57,1.7104614287153313e-20,1.0,0.0,0.007348990125776494,0.9926510098742235,0.00046908447611337944
58,7.697076429218991e-21,1.0,0.0,0.006908050718229904,0.9930919492817701,0.00044093940754663663
59,3.463684393148546e-21,1.0,0.0,0.00649356767513611,0.9935064323248639,0.0004144830430937718
60,1.5586579769168457e-21,1.0,0.0,0.006103953614627943,0.9938960463853721,0.00038961406050819214
61,7.013960896125806e-22,1.0,0.0,0.005737716397750265,0.9942622836022498,0.00036623721687767397
62,3.1562824032566128e-22,1.0,0.0,0.005393453413885249,0.9946065465861148,0.00034426298386502907
63,1.4203270814654756e-22,1.0,0.0,0.005069846209052134,0.9949301537909478,0.00032360720483304295
64,6.391471866594641e-23,1.0,0.0,0.004765655436509006,0.995234344563491,0.00030419077254317806
65,2.876162339967588e-23,1.0,0.0,0.004479716110318465,0.9955202838896815,0.00028593932619047635
66,1.2942730529854148e-23,1.0,0.0,0.004210933143699357,0.9957890668563006,0.00026878296661914103
67,5.824228738434367e-24,1.0,0.0,0.003958277155077395,0.9960417228449227,0.0002526559886220081
68,2.620902932295465e-24,1.0,0.0,0.0037207805257727516,0.9962792194742273,0.00023749662930461213
