source,series,truth,checkpoint_count,train_count,heldout_count,train_fraction,model,winner,train_sse,heldout_mse,heldout_nrmse,mse_ratio_to_persistence,parameters
synthetic_1pct,rank_two_139,rank_2,21,15,6,0.7142857142857143,power_law,False,0.00222870277141605,0.001205710068104206,0.04952872358860146,0.23871581824700394,"{""amplitude"": 1.7718619918214547, ""endpoint"": -0.2304626837029593, ""endpoint_constrained"": true, ""power"": 0.32865965911578254, ""time_shift"": 2.0647823694200027}"
synthetic_1pct,rank_two_139,rank_2,21,15,6,0.7142857142857143,rank_1,False,0.007334050585272145,0.0074461082680595155,0.12308364967989047,1.4742381895843837,"{""amplitudes"": [0.6737592493428005], ""endpoint"": 0.47284583837549654, ""modes"": [0.8]}"
synthetic_1pct,rank_two_139,rank_2,21,15,6,0.7142857142857143,rank_2,True,0.0014062879067813228,4.8742330214770236e-05,0.009958383244904351,0.00965038407515306,"{""amplitudes"": [0.34782490776660874, 1.0057969798685717], ""endpoint"": -0.18813511892026202, ""modes"": [0.6, 0.97]}"
synthetic_1pct,rank_two_139,rank_2,21,16,5,0.7619047619047619,persistence,False,1.3753189496848446,0.004289843746457886,0.09177623687787825,1.0,"{""last_value"": 0.45674258860218675}"
synthetic_1pct,rank_two_139,rank_2,21,16,5,0.7619047619047619,local_linear,False,0.47345964352624936,0.00032127951386862934,0.025116031923509675,0.07489305738322852,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": 0.4560723632335794, ""slope"": -0.01481977207882908, ""validation_mse"": 0.00023746398605289086}"
synthetic_1pct,rank_two_139,rank_2,21,16,5,0.7619047619047619,power_law,False,0.0023188538677359318,0.0013155457225737033,0.050823255773961525,0.30666518417125094,"{""amplitude"": 1.7780810591348355, ""endpoint"": -0.23428073017676398, ""endpoint_constrained"": true, ""power"": 0.32865965911578254, ""time_shift"": 2.0647823694200027}"
synthetic_1pct,rank_two_139,rank_2,21,16,5,0.7619047619047619,rank_1,False,0.008731853110562682,0.007754712409770459,0.12339352118405529,1.8076911114004326,"{""amplitudes"": [0.6819832119581498], ""endpoint"": 0.46786012342959576, ""modes"": [0.8]}"
synthetic_1pct,rank_two_139,rank_2,21,16,5,0.7619047619047619,rank_2,True,0.001450773566237018,4.905752105565731e-05,0.009814367335193332,0.011435736114200559,"{""amplitudes"": [0.35071852995195857, 0.9937858045703654], ""endpoint"": -0.17844747827975055, ""modes"": [0.6, 0.97]}"
synthetic_1pct,rank_two_140,rank_2,21,10,11,0.47619047619047616,persistence,False,1.2266121642097259,0.0023074833741832347,0.05209279365306884,1.0,"{""last_value"": 0.27546390610932825}"
synthetic_1pct,rank_two_140,rank_2,21,10,11,0.47619047619047616,local_linear,False,0.5157413249160189,0.02141270756181841,0.15868802359821316,9.279680105772572,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": 0.2740645835954541, ""slope"": -0.028008634403730016, ""validation_mse"": 0.0018698945125403567}"
synthetic_1pct,rank_two_140,rank_2,21,10,11,0.47619047619047616,power_law,True,0.0006314563523855438,0.0006257642994376933,0.027127748443746047,0.27118908263376756,"{""amplitude"": 1.001377708195087, ""endpoint"": -0.10959188333301584, ""endpoint_constrained"": true, ""power"": 0.4159321292901609, ""time_shift"": 0.5286653611361815}"
synthetic_1pct,rank_two_140,rank_2,21,10,11,0.47619047619047616,rank_1,False,0.009836216905927841,0.010379399792898454,0.11048275073114397,4.49814716284484,"{""amplitudes"": [0.861598907214773], ""endpoint"": 0.3320775063974061, ""modes"": [0.5]}"
synthetic_1pct,rank_two_140,rank_2,21,10,11,0.47619047619047616,rank_2,False,0.00032790533738769057,0.0029117048533672638,0.05851699737289313,1.2618530152559126,"{""amplitudes"": [0.5888339783016802, 0.5422925210667094], ""endpoint"": 0.06690355301824791, ""modes"": [0.3, 0.9]}"
synthetic_1pct,rank_two_140,rank_2,21,12,9,0.5714285714285714,persistence,False,1.2954246283231012,0.0015504374099219948,0.04203678036176018,1.0,"{""last_value"": 0.260898963310776}"
synthetic_1pct,rank_two_140,rank_2,21,12,9,0.5714285714285714,local_linear,False,0.8601633987473976,0.001186785161479714,0.03677802299737525,0.7654518356459534,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": 0.2586085213096114, ""slope"": -0.01143713121538417, ""validation_mse"": 0.0005109374467223263}"
synthetic_1pct,rank_two_140,rank_2,21,12,9,0.5714285714285714,power_law,False,0.0006698664100358171,0.0004878959201453505,0.02358120096430432,0.3146827579254442,"{""amplitude"": 0.9740101515248492, ""endpoint"": -0.03906366148166168, ""endpoint_constrained"": true, ""power"": 0.4866385566076729, ""time_shift"": 0.6150700355298502}"
synthetic_1pct,rank_two_140,rank_2,21,12,9,0.5714285714285714,rank_1,False,0.013829720271886004,0.00376086545798403,0.0654705854961507,2.425680284746754,"{""amplitudes"": [0.8673010131333617], ""endpoint"": 0.2839809728473566, ""modes"": [0.6]}"
