arm,round,n,quality_mean,quality_se,entropy_mean,entropy_se,coverage_mean,coverage_se,unique_fraction_mean,unique_fraction_se,population_fraction_mean,population_fraction_se
verified,1,16,0.9570506621598307,0.009885669994884074,0.9271221576529947,0.010403620680225783,1.0,0.0,0.9869791666666666,0.013020833333333336,1.0,0.0
verified,2,16,0.9862676778527868,0.0030050034911163087,0.9725353557055736,0.006010006982232616,0.99609375,0.00390625,1.0,0.0,1.0,0.0
verified,3,16,0.9941253616272516,0.002179393577623738,0.9882507232545031,0.004358787155247473,0.9921875,0.0053369535239372904,1.0,0.0,1.0,0.0
verified,4,16,0.9957058012113267,0.0021692620144579643,0.9914116024226534,0.0043385240289159285,0.9921875,0.0053369535239372904,1.0,0.0,1.0,0.0
verified,5,16,0.9958237577153238,0.0021819175083981966,0.9916475154306477,0.004363835016796394,0.9921875,0.0053369535239372904,1.0,0.0,1.0,0.0
verified,6,16,0.9957745486702412,0.0021518583651075106,0.9915490973404822,0.004303716730215016,0.9921875,0.0053369535239372904,1.0,0.0,1.0,0.0
verified,7,16,0.9957802076586307,0.0021235566897132296,0.9915604153172615,0.004247113379426456,0.9921875,0.0053369535239372904,1.0,0.0,1.0,0.0
verified,8,16,0.9958531863395725,0.0021605068792530276,0.9917063726791451,0.004321013758506052,0.9921875,0.0053369535239372904,1.0,0.0,1.0,0.0
verified,9,16,0.9955779544969126,0.0021681720126288263,0.9911559089938251,0.004336344025257642,0.9921875,0.0053369535239372904,1.0,0.0,1.0,0.0
verified,10,16,0.9957451200459925,0.0022346097116677367,0.9914902400919848,0.004469219423335469,0.9921875,0.0053369535239372904,1.0,0.0,1.0,0.0
guided,0,16,0.8698934896284056,0.0,0.8647869792568111,0.0,1.0,0.0,0.875,0.0,1.0,0.0
guided,1,16,0.9729034691608913,0.0035328969898197954,0.9484111049884492,0.005372606028809697,0.98046875,0.007479899279346391,0.9973958333333334,0.0026041666666666644,1.0,0.0
guided,2,16,0.9688640235636152,0.006748945662399963,0.9377280471272305,0.013497891324799931,0.96484375,0.013938983011533996,1.0,0.0,1.0,0.0
guided,3,16,0.96816510385466,0.006945707622543966,0.9389343743759867,0.014189844472249726,0.9609375,0.014959798558692783,0.9973958333333334,0.0026041666666666644,1.0,0.0
guided,4,16,0.963324992935621,0.008262034360129879,0.9266499858712419,0.016524068720259757,0.94140625,0.019321793543280775,1.0,0.0,1.0,0.0
guided,5,16,0.9629171734513575,0.007711019517036577,0.9284385135693816,0.015872059683162777,0.95703125,0.013643944684822641,0.9973958333333334,0.0026041666666666644,1.0,0.0
guided,6,16,0.9556773731924052,0.007542477727813643,0.921771413051477,0.015976027385705097,0.9375,0.01711632992203644,0.9895833333333334,0.008068715304598784,1.0,0.0
guided,7,16,0.9544607205636086,0.008620284450323758,0.9167339411272173,0.01662791418523468,0.9296875,0.017929077581310942,0.9921875,0.00566568363613914,1.0,0.0
guided,8,16,0.9502518362977443,0.014247133329261254,0.9109203392621553,0.027033504652856522,0.9296875,0.024787508404772486,0.9895833333333334,0.006014065304058602,1.0,0.0
guided,9,16,0.950520302647814,0.014405621246581112,0.9088531052956278,0.027404271273690026,0.92578125,0.025012204052472065,0.9921875,0.004199092577238824,1.0,0.0
guided,10,16,0.9621565751653156,0.0096340475049196,0.926917316997298,0.019189343061217702,0.9375,0.02057126839388698,0.9973958333333334,0.0026041666666666644,1.0,0.0
