"replicate","arm","round","delta_quality","signed_normalized_kernel"
"12","raw_replace","7","-0.0157232692031427","-0.186083632331133"
"12","raw_replace","8","0.0308555823321092","0.365173346831942"
"12","raw_replace","9","0","0"
"12","raw_replace","10","0","0"
"13","raw_replace","1","-0.0494895782300254","-1.26326808827179"
"13","raw_replace","2","0.119829715555419","3.05876633226197"
"13","raw_replace","3","0","0"
"13","raw_replace","4","0.000405884793431732","0.0103605915708939"
"13","raw_replace","5","0","0"
"13","raw_replace","6","-0.0315701902510785","-0.805858835561069"
"13","raw_replace","7","0","0"
"13","raw_replace","8","0","0"
"13","raw_replace","9","0","0"
"13","raw_replace","10","0","0"
"14","raw_replace","1","-0.0169782836583403","-0.138541840869055"
"14","raw_replace","2","-0.00184112125749358","-0.0150234460331336"
"14","raw_replace","3","0","0"
"14","raw_replace","4","0.0218831262172258","0.178565080611964"
"14","raw_replace","5","-0.0467423272530137","-0.381414764557499"
"14","raw_replace","6","-0.0997045906709372","-0.81358385880552"
"14","raw_replace","7","0","0"
"14","raw_replace","8","0.0208333333333334","0.169998829653244"
"14","raw_replace","9","0","0"
"14","raw_replace","10","0","0"
"15","raw_replace","1","-0.0151827487004728","-0.919752661841955"
"15","raw_replace","2","0","0"
"15","raw_replace","3","0.026023145391348","1.5764508598135"
"15","raw_replace","4","0.0450419696359066","2.72858836594849"
"15","raw_replace","5","-0.015213836041007","-0.921635895554773"
"15","raw_replace","6","0.0157940926204965","0.956787141489583"
"15","raw_replace","7","0","0"
"15","raw_replace","8","0","0"
"15","raw_replace","9","0","0"
"15","raw_replace","10","-0.0729700485766323","-4.42043780985484"
"0","verified","1","-0.0430800742476742","-0.334347226046508"
"0","verified","2","0.144307892389237","1.11998283103154"
"0","verified","3","0.0245655265617053","0.190654631072773"
"0","verified","4","0.0024258616043723","0.0188272678810065"
"0","verified","5","0.00125820270930299","0.00976499212237007"
"0","verified","6","-0.00125820270930299","-0.00976499212237007"
"0","verified","7","0","0"
"0","verified","8","0.00125820270930299","0.00976499212237007"
"0","verified","9","-0.00062910135465144","-0.0048824960611846"
"0","verified","10","0","0"
"1","verified","1","0.11141940167648","0.86473314006194"
"1","verified","2","0.0125407629035563","0.0973296671961372"
"1","verified","3","0.00551724443690638","0.0428196888031075"
"1","verified","4","0","0"
"1","verified","5","0","0"
"1","verified","6","0","0"
"1","verified","7","0","0"
"1","verified","8","0","0"
"1","verified","9","-0.00062910135465144","-0.0048824960611846"
"1","verified","10","0","0"
"2","verified","1","0.0812559909601496","0.62756886762784"
"2","verified","2","0.03851197165736","0.297441630549778"
"2","verified","3","0.00845124369013039","0.0652719555812589"
"2","verified","4","0.000629101354651551","0.00485877312056213"
"2","verified","5","0","0"
"2","verified","6","0","0"
"2","verified","7","0.00062910135465144","0.00485877312056127"
"2","verified","8","0","0"
"2","verified","9","-0.00062910135465144","-0.00485877312056127"
"2","verified","10","0.00062910135465144","0.00485877312056127"
"3","verified","1","0.0930100547814166","0.718349675727953"
"3","verified","2","0.00721962697925393","0.0557597424451798"
"3","verified","3","0.0267313218376666","0.206455489344621"
"3","verified","4","0.00251640541860587","0.0194350924822459"
"3","verified","5","-0.00062910135465144","-0.00485877312056127"
"3","verified","6","0","0"
