problem_id,tag,replicate,rho,round,population_size,mean_accuracy,mean_fitness,pass_at_4,distinct_fraction,effective_answers,invalid_fraction,regressions,recoveries,fitness_regressions,fitness_improvements,candidate_ids
458,ADVANCED,0,0.0,5,4,0.0,0.11875,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-a1ace4c290c14d48|control-restart-20260719-a1ace4c290c14d48|control-restart-20260719-42f2fc24b1d44a56|control-restart-20260719-a1ace4c290c14d48
458,ADVANCED,0,2.0,5,4,0.0,0.01874999999999999,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-285fe3ec88fa409a|control-restart-20260719-065ada201b3f46b0|control-restart-20260719-d11c9d87d1dd4bf1|control-restart-20260719-285fe3ec88fa409a
69,MECHANICS,0,-6.0,5,4,0.0,0.0,0,0.5,2.0,0.0,0,0,0,0,control-restart-20260719-7d46dda447484302|control-restart-20260719-7d46dda447484302|control-restart-20260719-c9c570ccfc5a46b8|control-restart-20260719-c9c570ccfc5a46b8
69,MECHANICS,0,0.0,5,4,0.0,0.013636363636363641,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-60d2d7f0fa0a41f8|control-restart-20260719-b4eeb32c43f54450|control-restart-20260719-60d2d7f0fa0a41f8|control-restart-20260719-1fb484d9155e420c
69,MECHANICS,0,2.0,5,4,0.0,0.0,0,0.5,2.0,0.0,0,0,0,0,control-restart-20260719-2cb04c3127a84f85|control-restart-20260719-021e6bd36c3e418a|control-restart-20260719-2cb04c3127a84f85|control-restart-20260719-021e6bd36c3e418a
103,THERMODYNAMICS,0,-6.0,5,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-30318a1d91504d5d|control-restart-20260719-565f6ede70514f09|control-restart-20260719-321c71535f3f4f1a|control-restart-20260719-30318a1d91504d5d
103,THERMODYNAMICS,0,0.0,5,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-2893ae7376f949cd|control-restart-20260719-2893ae7376f949cd|control-restart-20260719-c3c1b0d828f7405b|control-restart-20260719-e4250728ed3b4fc4
103,THERMODYNAMICS,0,2.0,5,4,0.0,0.0,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-6b1643606c3942a6|control-restart-20260719-6b1643606c3942a6|control-restart-20260719-6b1643606c3942a6|control-restart-20260719-1b9aa04da7d7415d
478,ELECTRICITY,0,-6.0,5,4,0.0,0.0,0,0.25,1.0,0.0,0,0,0,0,control-restart-20260719-5baf58b302bc478f|control-restart-20260719-4804cddc1a684ac1|control-restart-20260719-d9aa694c3dea48b9|control-restart-20260719-4804cddc1a684ac1
478,ELECTRICITY,0,0.0,5,4,0.0,0.0,0,0.25,1.0,0.0,0,0,0,0,control-restart-20260719-92b501002cb94d86|control-restart-20260719-9cb8bb24742f46c6|control-restart-20260719-761fd942e6d04a08|control-restart-20260719-8b041bed8c414a38
478,ELECTRICITY,0,2.0,5,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,control-restart-20260719-d69a73196bdf4ce4|control-restart-20260719-ae824adb25e040c5|control-restart-20260719-8daa2ad2c5574486|control-restart-20260719-e55597f479e04e98
