worker,schema_index,family,schema,max_lag,branch_count,window,window_start,regime,horizon_ratio,horizon_bin,noise,true_radius,true_class,estimated_order,recovered_radius,recovered_class,radius_error,class_correct,forecast_nrmse,forecast_success,signal_rms
31,12412,random_split,2:3;5:6;6:1;7:6,7,16,8,7,post_lag,1.14285714286,1_to_2,0.001,0.811721032706,ringing,1,1.06736112547,alternating,0.255640092769,0,2.69398735607,0,0.108022820661
19,10794,random_split,2:3;5:6;6:2;7:4,7,15,8,7,post_lag,1.14285714286,1_to_2,0.001,0.77994143121,ringing,1,1.09228905312,alternating,0.312347621912,0,2.6850279774,0,0.0743921260225
31,12412,random_split,2:3;5:6;6:1;7:6,7,16,8,7,post_lag,1.14285714286,1_to_2,0,0.811721032706,ringing,1,1.06715262304,alternating,0.255431590335,0,2.68188786267,0,0.108022820661
31,12412,random_split,2:3;5:6;6:1;7:6,7,16,8,7,post_lag,1.14285714286,1_to_2,1e-08,0.811721032706,ringing,1,1.06715262285,alternating,0.255431590139,0,2.68188785739,0,0.108022820661
31,12412,random_split,2:3;5:6;6:1;7:6,7,16,8,7,post_lag,1.14285714286,1_to_2,1e-05,0.811721032706,ringing,1,1.06715207187,alternating,0.255431039168,0,2.68184510103,0,0.108022820661
9,5696,random_split,2:2;3:2;4:3;7:8,7,15,8,7,post_lag,1.14285714286,1_to_2,0.001,0.700787314664,ringing,1,1.06356146044,alternating,0.362774145775,0,2.66526601448,0,0.0153537573707
9,5696,random_split,2:2;3:2;4:3;7:8,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-08,0.700787314664,ringing,1,1.06351039949,alternating,0.362723084827,0,2.66108634214,0,0.0153537573707
9,5696,random_split,2:2;3:2;4:3;7:8,7,15,8,7,post_lag,1.14285714286,1_to_2,0,0.700787314664,ringing,1,1.06351039904,alternating,0.362723084376,0,2.66108631226,0,0.0153537573707
9,5696,random_split,2:2;3:2;4:3;7:8,7,15,8,7,post_lag,1.14285714286,1_to_2,1e-05,0.700787314664,ringing,1,1.06350988595,alternating,0.362722571282,0,2.66104308824,0,0.0153537573707
13,938,random_split,3:1;4:4;5:5;6:22;7:1;8:30,8,63,8,8,post_lag,1,1_to_2,0,0.877910945383,alternating,1,1.05488613478,alternating,0.176975189399,1,2.33710364444,0,0.16035730693
