family,regime,window,noise,count,class_accuracy,forecast_success_rate,median_radius_error,median_forecast_nrmse,p90_forecast_nrmse
immediate,post_lag,48,0,17243,1.0,1.0,0.0401827521125,1.22794719032e-13,1.22794719032e-13
immediate,post_lag,48,0.001,17243,1.0,1.0,0.0401818264445,1.22794719047e-13,1.22794721195e-13
immediate,post_lag,48,1e-05,17243,1.0,1.0,0.0401827650377,1.22794719032e-13,1.22794719052e-13
immediate,post_lag,48,1e-08,17243,1.0,1.0,0.0401827521258,1.22794719032e-13,1.22794719032e-13
immediate,post_lag,96,0,17243,1.0,1.0,0.0401827521125,2.65219234015e-13,2.65219234015e-13
immediate,post_lag,96,0.001,17243,1.0,1.0,0.0401835767708,2.65219234015e-13,2.65219234015e-13
immediate,post_lag,96,1e-05,17243,1.0,1.0,0.0401827417834,2.65219234015e-13,2.65219234015e-13
immediate,post_lag,96,1e-08,17243,1.0,1.0,0.0401827521409,2.65219234015e-13,2.65219234015e-13
random_split,origin,24,0,144863,0.19640625970744774,0.9016380994456832,0.703181950675,0.0116247571399,0.0956421331146
random_split,origin,24,0.001,144863,0.1903384577152206,0.9016104871499279,0.703108925089,0.0117227645704,0.0959288576331
random_split,origin,24,1e-05,144863,0.19484616499727328,0.9016380994456832,0.703176727278,0.0116247571399,0.0956421331146
random_split,origin,24,1e-08,144863,0.19640625970744774,0.9016380994456832,0.703181946776,0.0116247571399,0.0956421331146
random_split,origin,48,0,144863,0.2546543976032527,0.9828320551141423,0.675475764738,0.000440712162658,0.0193706125506
random_split,origin,48,0.001,144863,0.21848229016380993,0.9827423151529376,0.684006307381,0.000491921980757,0.0194792092914
random_split,origin,48,1e-05,144863,0.24438952665622002,0.9828320551141423,0.675972953914,0.000440717852519,0.0193703897973
random_split,origin,48,1e-08,144863,0.25457156071598686,0.9828320551141423,0.675475764518,0.00044071217579,0.0193706125753
random_split,origin,96,0,144863,0.2793121777127355,0.9978393378571477,0.660032412202,5.67728365619e-07,0.000959267740806
random_split,origin,96,0.001,144863,0.20136956986946286,0.9978393378571477,0.686966780266,8.41973738442e-07,0.00107474533221
random_split,origin,96,1e-05,144863,0.23426962026190262,0.9978393378571477,0.675778109653,6.53311868348e-07,0.000958799855922
random_split,origin,96,1e-08,144863,0.26464314559273244,0.9978393378571477,0.661389729891,5.67728359392e-07,0.000959267471064
random_split,post_lag,24,0,144863,0.7828914215500162,0.9560067097878685,0.00238782771583,0.00254424354136,0.0467346147826
random_split,post_lag,24,0.001,144863,0.7320709912123868,0.9559583882702968,0.00387986963289,0.00297645143338,0.0478520936563
random_split,post_lag,24,1e-05,144863,0.7817040928325383,0.9559998067139297,0.00247893409143,0.00254903301783,0.0467346147826
random_split,post_lag,24,1e-08,144863,0.7828914215500162,0.9560067097878685,0.00238782807681,0.00254424354136,0.0467346147826
