worker,schema_index,family,schema,max_lag,branch_count,window,window_start,regime,noise,true_radius,true_class,estimated_order,recovered_radius,recovered_class,radius_error,class_correct,forecast_nrmse,forecast_success,signal_rms
21,10799,finite_horizon,13:5451;14:31;15:10902,15,16384,24,15,post_lag,0.001,0.997989747623,ringing,1,0.971398436569,alternating,0.0265913110539,0,1.01492387349,0,2.22264079952
1,10195,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,1e-05,0.998125497189,ringing,1,0.971563206606,alternating,0.0265622905833,0,1.01492103801,0,2.22350939663
24,15424,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,1e-05,0.998125497189,ringing,1,0.971563011548,alternating,0.0265624856409,0,1.01492099753,0,2.22350939663
5,1624,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,1e-08,0.998125497189,ringing,1,0.971562451719,alternating,0.0265630454705,0,1.01492070833,0,2.22350939663
24,15424,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,0,0.998125497189,ringing,1,0.97156245147,alternating,0.0265630457194,0,1.0149207083,0,2.22350939663
20,14565,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,0,0.998125497189,ringing,1,0.97156245147,alternating,0.0265630457194,0,1.0149207083,0,2.22350939663
5,1624,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,0,0.998125497189,ringing,1,0.97156245147,alternating,0.0265630457194,0,1.0149207083,0,2.22350939663
1,10195,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,1e-08,0.998125497189,ringing,1,0.971562451381,alternating,0.026563045808,0,1.0149207083,0,2.22350939663
1,10195,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,0,0.998125497189,ringing,1,0.97156245147,alternating,0.0265630457194,0,1.0149207083,0,2.22350939663
20,14565,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,1e-08,0.998125497189,ringing,1,0.971562450771,alternating,0.0265630464186,0,1.0149207081,0,2.22350939663
24,15424,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,1e-08,0.998125497189,ringing,1,0.971562450651,alternating,0.0265630465386,0,1.01492070789,0,2.22350939663
5,1624,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,1e-05,0.998125497189,ringing,1,0.971562088573,alternating,0.0265634086164,0,1.0149205678,0,2.22350939663
20,14565,finite_horizon,13:5456;14:16;15:10912,15,16384,24,15,post_lag,1e-05,0.998125497189,ringing,1,0.971561517774,alternating,0.0265639794153,0,1.01492047899,0,2.22350939663
5,5187,finite_horizon,13:5455;14:19;15:10910,15,16384,24,15,post_lag,1e-08,0.998098366378,ringing,1,0.971529601713,alternating,0.0265687646645,0,1.01491738976,0,2.22333542062
5,5187,finite_horizon,13:5455;14:19;15:10910,15,16384,24,15,post_lag,0,0.998098366378,ringing,1,0.97152960215,alternating,0.0265687642274,0,1.01491738962,0,2.22333542062
11,14610,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,0.001,0.998016916652,ringing,1,0.971457604612,alternating,0.0265593120402,0,1.01491703401,0,2.22281426293
5,5187,finite_horizon,13:5455;14:19;15:10910,15,16384,24,15,post_lag,1e-05,0.998098366378,ringing,1,0.971529087731,alternating,0.0265692786469,0,1.01491702909,0,2.22333542062
5,14782,finite_horizon,13:5447;14:43;15:10894,15,16384,24,15,post_lag,0.001,0.997880975713,ringing,1,0.971370287407,alternating,0.0265106883066,0,1.01491429739,0,2.22194821741
24,3023,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,1e-05,0.998071226023,ringing,1,0.971496890292,alternating,0.0265743357309,0,1.01491406613,0,2.22316157319
24,3023,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,1e-08,0.998071226023,ringing,1,0.97149647699,alternating,0.0265747490329,0,1.01491397862,0,2.22316157319
11,14533,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,1e-08,0.998071226023,ringing,1,0.971496476231,alternating,0.0265747497914,0,1.01491397823,0,2.22316157319
24,3023,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,0,0.998071226023,ringing,1,0.971496476252,alternating,0.026574749771,0,1.01491397811,0,2.22316157319
15,10001,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,0,0.998071226023,ringing,1,0.971496476252,alternating,0.026574749771,0,1.01491397811,0,2.22316157319
11,14533,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,0,0.998071226023,ringing,1,0.971496476252,alternating,0.026574749771,0,1.01491397811,0,2.22316157319
15,10001,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,1e-08,0.998071226023,ringing,1,0.971496476364,alternating,0.0265747496583,0,1.01491397792,0,2.22316157319
15,10001,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,1e-05,0.998071226023,ringing,1,0.97149566795,alternating,0.0265755580721,0,1.01491391038,0,2.22316157319
11,14533,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,1e-05,0.998071226023,ringing,1,0.971496416399,alternating,0.0265748096234,0,1.01491379611,0,2.22316157319
12,10520,finite_horizon,13:5453;14:25;15:10906,15,16384,24,15,post_lag,0,0.998044076116,ringing,1,0.971463070086,alternating,0.0265810060301,0,1.01491047303,0,2.22298785406
12,10520,finite_horizon,13:5453;14:25;15:10906,15,16384,24,15,post_lag,1e-08,0.998044076116,ringing,1,0.971463069719,alternating,0.0265810063969,0,1.01491047299,0,2.22298785406
12,10520,finite_horizon,13:5453;14:25;15:10906,15,16384,24,15,post_lag,1e-05,0.998044076116,ringing,1,0.971462265424,alternating,0.0265818106927,0,1.01491039363,0,2.22298785406
20,9198,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,1e-05,0.998016916652,ringing,1,0.971430594526,alternating,0.0265863221261,0,1.01490727555,0,2.22281426293
15,8306,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,1e-08,0.998016916652,ringing,1,0.971429380398,alternating,0.0265875362535,0,1.01490687395,0,2.22281426293
26,11900,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,0,0.998016916652,ringing,1,0.971429379905,alternating,0.0265875367469,0,1.01490687361,0,2.22281426293
20,9198,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,0,0.998016916652,ringing,1,0.971429379905,alternating,0.0265875367469,0,1.01490687361,0,2.22281426293
15,8306,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,0,0.998016916652,ringing,1,0.971429379905,alternating,0.0265875367469,0,1.01490687361,0,2.22281426293
11,14610,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,1e-08,0.998016916652,ringing,1,0.971429379842,alternating,0.0265875368099,0,1.01490687361,0,2.22281426293
11,14610,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,0,0.998016916652,ringing,1,0.971429379905,alternating,0.0265875367469,0,1.01490687361,0,2.22281426293
20,9198,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,1e-08,0.998016916652,ringing,1,0.971429380083,alternating,0.0265875365685,0,1.01490687338,0,2.22281426293
26,11900,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,1e-08,0.998016916652,ringing,1,0.971429378607,alternating,0.0265875380451,0,1.01490687314,0,2.22281426293
26,11900,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,1e-05,0.998016916652,ringing,1,0.971428594486,alternating,0.0265883221656,0,1.01490679828,0,2.22281426293
11,14610,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,1e-05,0.998016916652,ringing,1,0.971429357937,alternating,0.0265875587151,0,1.01490667661,0,2.22281426293
15,8306,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,1e-05,0.998016916652,ringing,1,0.971429187353,alternating,0.0265877292985,0,1.01490659034,0,2.22281426293
21,10799,finite_horizon,13:5451;14:31;15:10902,15,16384,24,15,post_lag,1e-05,0.997989747623,ringing,1,0.97139593077,alternating,0.0265938168523,0,1.01490335241,0,2.22264079952
20,16283,finite_horizon,13:5451;14:31;15:10902,15,16384,24,15,post_lag,1e-05,0.997989747623,ringing,1,0.971396143182,alternating,0.0265936044405,0,1.01490334216,0,2.22264079952
21,10799,finite_horizon,13:5451;14:31;15:10902,15,16384,24,15,post_lag,0,0.997989747623,ringing,1,0.971395401895,alternating,0.0265943457272,0,1.01490317907,0,2.22264079952
20,16283,finite_horizon,13:5451;14:31;15:10902,15,16384,24,15,post_lag,0,0.997989747623,ringing,1,0.971395401895,alternating,0.0265943457272,0,1.01490317907,0,2.22264079952
21,10799,finite_horizon,13:5451;14:31;15:10902,15,16384,24,15,post_lag,1e-08,0.997989747623,ringing,1,0.971395402545,alternating,0.026594345077,0,1.01490317903,0,2.22264079952
20,16283,finite_horizon,13:5451;14:31;15:10902,15,16384,24,15,post_lag,1e-08,0.997989747623,ringing,1,0.971395401203,alternating,0.0265943464193,0,1.01490317898,0,2.22264079952
15,10001,finite_horizon,13:5454;14:22;15:10908,15,16384,24,15,post_lag,0.001,0.998071226023,ringing,1,0.971421959961,alternating,0.0266492660617,0,1.01490277596,0,2.22316157319
